Date-Time	Station_ID	CBOD	DO	FLOW	NH3	NOX	NP RATIO	ORGN	ORGP	PO4	TKN	TN	TP	TSS	WTEMP
02/01/2013 00:00	TN0020460	3.00000	8.26000	0.01154	0.01170	1.26012	0.43693	0.08996	1.34017	1.77650	0.10166	1.36177	3.11667	9.66000	15.00000
02/28/2013 00:00	TN0020460	3.00000	8.26000	0.01154	0.01170	1.26012	0.43693	0.08996	1.34017	1.77650	0.10166	1.36177	3.11667	9.66000	15.00000
03/01/2013 00:00	TN0020460	3.10000	8.21000	0.01567	0.01210	1.30320	0.45187	0.09303	1.34017	1.77650	0.10513	1.40833	3.11667	8.30000	15.00000
03/31/2013 00:00	TN0020460	3.10000	8.21000	0.01567	0.01210	1.30320	0.45187	0.09303	1.34017	1.77650	0.10513	1.40833	3.11667	8.30000	15.00000
04/01/2013 00:00	TN0020460	2.99600	7.97000	0.01986	0.01840	1.98172	0.68714	0.14147	1.34017	1.77650	0.15987	2.14159	3.11667	11.00000	25.00000
04/30/2013 00:00	TN0020460	2.99600	7.97000	0.01986	0.01840	1.98172	0.68714	0.14147	1.34017	1.77650	0.15987	2.14159	3.11667	11.00000	25.00000
05/01/2013 00:00	TN0020460	2.93000	8.40000	0.01544	0.01810	1.94941	0.67594	0.13917	1.34017	1.77650	0.15727	2.10668	3.11667	10.80000	25.00000
05/31/2013 00:00	TN0020460	2.93000	8.40000	0.01544	0.01810	1.94941	0.67594	0.13917	1.34017	1.77650	0.15727	2.10668	3.11667	10.80000	25.00000
06/01/2013 00:00	TN0020460	3.00000	7.30000	0.01397	0.02880	3.10182	1.07553	0.22144	1.34017	1.77650	0.25024	3.35206	3.11667	11.30000	25.00000
06/30/2013 00:00	TN0020460	3.00000	7.30000	0.01397	0.02880	3.10182	1.07553	0.22144	1.34017	1.77650	0.25024	3.35206	3.11667	11.30000	25.00000
07/01/2013 00:00	TN0020460	5.43000	7.04000	0.01063	0.04940	5.32049	1.84483	0.37982	1.34017	1.77650	0.42922	5.74971	3.11667	10.70000	25.00000
07/31/2013 00:00	TN0020460	5.43000	7.04000	0.01063	0.04940	5.32049	1.84483	0.37982	1.34017	1.77650	0.42922	5.74971	3.11667	10.70000	25.00000
08/01/2013 00:00	TN0020460	2.75000	7.57000	0.01413	0.02180	2.34791	0.81411	0.16761	1.34017	1.77650	0.18941	2.53732	3.11667	13.00000	25.00000
08/31/2013 00:00	TN0020460	2.75000	7.57000	0.01413	0.02180	2.34791	0.81411	0.16761	1.34017	1.77650	0.18941	2.53732	3.11667	13.00000	25.00000
09/01/2013 00:00	TN0020460	2.90000	7.85500	0.00965	0.01900	2.04634	0.70955	0.14609	1.34017	1.77650	0.16509	2.21143	3.11667	11.46000	25.00000
09/30/2013 00:00	TN0020460	2.90000	7.85500	0.00965	0.01900	2.04634	0.70955	0.14609	1.34017	1.77650	0.16509	2.21143	3.11667	11.46000	25.00000
10/01/2013 00:00	TN0020460	2.89000	8.14000	0.00937	0.02150	2.31560	0.80291	0.16531	1.34017	1.77650	0.18681	2.50240	3.11667	11.50000	15.00000
10/31/2013 00:00	TN0020460	2.89000	8.14000	0.00937	0.02150	2.31560	0.80291	0.16531	1.34017	1.77650	0.18681	2.50240	3.11667	11.50000	15.00000
11/01/2013 00:00	TN0020460	2.97000	8.24000	0.00797	0.02160	2.32637	0.80664	0.16608	1.34017	1.77650	0.18768	2.51404	3.11667	14.00000	15.00000
11/30/2013 00:00	TN0020460	2.97000	8.24000	0.00797	0.02160	2.32637	0.80664	0.16608	1.34017	1.77650	0.18768	2.51404	3.11667	14.00000	15.00000
12/01/2013 00:00	TN0020460	2.97000	8.41000	0.01232	0.02410	2.59562	0.90001	0.18530	1.34017	1.77650	0.20940	2.80502	3.11667	10.80000	15.00000
