Sample,DO,Cond,ph,Temp,Turb
266,7.58,347,7.76,20.51,10.8
267,7.23,347,7.76,20.41,11
268,7,347,7.76,20.31,10.8
269,7.52,348,7.75,20.21,10.8
270,7.54,349,7.75,20.1,10.9
271,7.52,349,7.75,19.99,11.5
272,7.53,350,7.75,19.88,11.2
273,7.53,351,7.76,19.77,12.1
274,7.38,352,7.76,19.67,12.5
275,7.36,353,7.76,19.57,13.1
276,7.58,354,7.76,19.5,13.1
277,7.63,355,7.76,19.47,13.2
278,7.68,356,7.77,19.46,13.6
279,7.66,357,7.78,19.47,13.1
280,7.7,359,7.79,19.51,12.5
281,7.99,360,7.8,19.61,12.6
282,8.21,362,7.81,19.82,12.6
283,8.39,363,7.83,19.97,13.1
284,8.65,364,7.85,20.3,13.3
285,8.85,366,7.86,20.54,13.7
286,8.6,368,7.87,20.75,13.4
287,8.51,369,7.88,20.96,14.7
288,9.19,371,7.89,21.16,14.1
289,9.23,373,7.89,21.28,14.1
290,9.25,374,7.9,21.39,14.4
291,9,376,7.9,21.44,15.6
292,8.8,378,7.89,21.44,14.8
293,9.08,379,7.89,21.39,14.2
294,8.98,381,7.87,21.33,15.6
295,8.89,383,7.87,21.3,14.7
296,8.85,385,7.86,21.32,14.8
297,8.82,387,7.86,21.37,15
298,8.79,389,7.86,21.39,14.8
299,8.78,390,7.86,21.41,13.8
300,8.76,392,7.86,21.42,13.4
301,8.72,394,7.86,21.42,13.1
302,8.67,396,7.86,21.4,11.4
303,8.35,398,7.86,21.36,11.9
304,8.24,400,7.85,21.31,10.8
305,8.51,402,7.85,21.25,11.4
306,8.46,403,7.84,21.18,11.2
307,8.41,405,7.84,21.09,10.7
308,8.09,406,7.84,21,10.9
309,7.83,409,7.83,20.92,11.7
310,8.22,410,7.83,20.83,11.7
311,8.19,411,7.83,20.73,11.2
312,8.12,413,7.82,20.64,11.9
313,8.08,415,7.82,20.54,11.7
314,8.02,417,7.82,20.43,12
315,7.89,418,7.81,20.35,12
316,7.84,419,7.81,20.25,11.9
317,7.91,421,7.81,20.15,12.5
318,7.89,423,7.81,20.05,12.4
319,7.86,424,7.81,19.97,12.1
320,7.56,425,7.81,19.9,12
321,7.29,427,7.81,19.83,13.1
322,7.8,428,7.81,19.76,12.8
323,7.82,430,7.81,19.72,13.1
324,7.82,431,7.81,19.69,13
325,7.85,432,7.81,19.68,13.5
326,7.92,434,7.82,19.7,12.5
327,7.8,435,7.83,19.76,12.7
328,7.86,436,7.84,19.85,12.5
329,8.33,437,7.85,19.97,12.4
330,8.52,439,7.87,20.07,12.2
331,8.63,440,7.88,20.13,12.9
332,8.67,441,7.89,20.33,12.2
